# multipoles
# s[mm] polynom_b[n=1][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=9][T/m^n] polynom_b[n=13][T/m^n] polynom_b[n=17][T/m^n] 
+6.0000000000000000e+00 +4.7160165527556273e+01 -3.4723976852466133e+06 +2.2887667293020728e+14 -4.8392664668166978e+21 +2.6274862629886901e+28 
+6.1000000000000005e+00 +4.7160163278642329e+01 -3.4740291885618749e+06 +2.2926701660608328e+14 -4.8693303867058663e+21 +2.6974887521871650e+28 
+6.2000000000000002e+00 +4.7160160728685518e+01 -3.4754358983136499e+06 +2.2956985221087619e+14 -4.8913159845720936e+21 +2.7468943571720304e+28 
+6.3000000000000007e+00 +4.7160157877154809e+01 -3.4766091832530908e+06 +2.2978878841670838e+14 -4.9057054349686378e+21 +2.7770300549933929e+28 
+6.4000000000000004e+00 +4.7160154723515966e+01 -3.4775404089614451e+06 +2.2992743325407678e+14 -4.9129808669441293e+21 +2.7892227167456482e+28 
+6.5000000000000000e+00 +4.7160151267216776e+01 -3.4782209177727099e+06 +2.2998938870362038e+14 -4.9136238816468434e+21 +2.7847977543459438e+28 
+6.6000000000000005e+00 +4.7160147507711805e+01 -3.4786420604675398e+06 +2.2997825890308694e+14 -4.9081162664090911e+21 +2.7650810908006756e+28 
+6.7000000000000002e+00 +4.7160143444477278e+01 -3.4787952158187558e+06 +2.2989765522557159e+14 -4.8969404362495665e+21 +2.7314003763202811e+28 
+6.8000000000000007e+00 +4.7160139076960576e+01 -3.4786717263303399e+06 +2.2975117979545741e+14 -4.8805780102100864e+21 +2.6850810821442864e+28 
+6.9000000000000004e+00 +4.7160134404621743e+01 -3.4782629493726450e+06 +2.2954243840191119e+14 -4.8595109166458434e+21 +2.6274495157846270e+28 
+7.0000000000000000e+00 +4.7160129426922488e+01 -3.4775602445223359e+06 +2.2927503738873803e+14 -4.8342211302615689e+21 +2.5598321079436229e+28 
+7.1000000000000005e+00 +4.7160124158242240e+01 -3.4765652156069670e+06 +2.2895309909182588e+14 -4.8051635236991696e+21 +2.4834156305854940e+28 
+7.2000000000000002e+00 +4.7160118672559449e+01 -3.4753203451865129e+06 +2.2858278371511081e+14 -4.7726822584180969e+21 +2.3988218100011018e+28 
+7.3000000000000007e+00 +4.7160113058788070e+01 -3.4738783805111009e+06 +2.2817077236172309e+14 -4.7370947988972823e+21 +2.3065337899090151e+28 
+7.4000000000000004e+00 +4.7160107405831390e+01 -3.4722920564417783e+06 +2.2772374312150084e+14 -4.6987183576069812e+21 +2.2070340367975389e+28 
+7.5000000000000000e+00 +4.7160101802601183e+01 -3.4706141187836831e+06 +2.2724837696306834e+14 -4.6578704017002799e+21 +2.1008057301404156e+28 
+7.6000000000000005e+00 +4.7160096337999583e+01 -3.4688972990082828e+06 +2.2675135080141369e+14 -4.6148680242971919e+21 +1.9883309740737307e+28 
+7.7000000000000002e+00 +4.7160091100925783e+01 -3.4671943281370890e+06 +2.2623934199285597e+14 -4.5700283905442143e+21 +1.8700921380733454e+28 
+7.8000000000000007e+00 +4.7160086180307260e+01 -3.4655579696569494e+06 +2.2571903566417916e+14 -4.5236693042683797e+21 +1.7465732812221324e+28 
+7.9000000000000004e+00 +4.7160081665023654e+01 -3.4640409290244658e+06 +2.2519710247584703e+14 -4.4761073430553895e+21 +1.6182551412766216e+28 
+8.0000000000000000e+00 +4.7160077643993340e+01 -3.4626959601675514e+06 +2.2468022541126344e+14 -4.4276601430899168e+21 +1.4856213506553676e+28 
+8.0999999999999996e+00 +4.7160074160475723e+01 -3.4615640084912558e+06 +2.2417581638558009e+14 -4.3788355762802718e+21 +1.3498367358804971e+28 
+8.2000000000000011e+00 +4.7160071075164737e+01 -3.4606388838782678e+06 +2.2369422979223384e+14 -4.3309048525670554e+21 +1.2147976358115826e+28 
+8.3000000000000007e+00 +4.7160068203070828e+01 -3.4599025565176345e+06 +2.2324654097509819e+14 -4.2853287289472203e+21 +1.0850796946854445e+28 
+8.4000000000000004e+00 +4.7160065359260152e+01 -3.4593370677368245e+06 +2.2284384358251484e+14 -4.2435695478031594e+21 +9.6526291726392448e+27 
+8.5000000000000000e+00 +4.7160062358759667e+01 -3.4589244092003396e+06 +2.2249721849067338e+14 -4.2070885442071885e+21 +8.5992425891666339e+27 
+8.5999999999999996e+00 +4.7160059016610617e+01 -3.4586465914843022e+06 +2.2221775160364900e+14 -4.1773473992940921e+21 +7.7364192380178707e+27 
+8.7000000000000011e+00 +4.7160055147839053e+01 -3.4584856043808088e+06 +2.2201652325184728e+14 -4.1558072985811922e+21 +7.1099272818574403e+27 
+8.8000000000000007e+00 +4.7160050567499546e+01 -3.4584234748141938e+06 +2.2190462339073688e+14 -4.1439302639772128e+21 +6.7655579262535849e+27 
+8.9000000000000004e+00 +4.7160045090623214e+01 -3.4584421994569106e+06 +2.2189313424096784e+14 -4.1431776529314213e+21 +6.7490842356440922e+27 
+9.0000000000000000e+00 +4.7160038532254475e+01 -3.4585237929172385e+06 +2.2199314265832353e+14 -4.1550112218831745e+21 +7.1062901605099178e+27 
+9.0999999999999996e+00 +4.7160030775402618e+01 -3.4586530947468192e+06 +2.2221058131752962e+14 -4.1802684521909579e+21 +7.8641975527455983e+27 
+9.2000000000000011e+00 +4.7160021974981667e+01 -3.4588263064480526e+06 +2.2253078249250353e+14 -4.2172911449222000e+21 +8.9748189045547502e+27 
+9.3000000000000007e+00 +4.7160012353904790e+01 -3.4590424991127891e+06 +2.2293393577440466e+14 -4.2637978190941095e+21 +1.0371431828582398e+28 
+9.4000000000000004e+00 +4.7160002135050853e+01 -3.4593007001589476e+06 +2.2340021959169453e+14 -4.3175060324644700e+21 +1.1987287619406566e+28 
+9.5000000000000000e+00 +4.7159991541326725e+01 -3.4595999729952603e+06 +2.2390982162594947e+14 -4.3761341427820601e+21 +1.3755659535771831e+28 
+9.6000000000000014e+00 +4.7159980795624691e+01 -3.4599393621343547e+06 +2.2444292466944238e+14 -4.4374000828933698e+21 +1.5609809124293770e+28 
+9.7000000000000011e+00 +4.7159970120855078e+01 -3.4603179349365835e+06 +2.2497971736619591e+14 -4.4990222912764605e+21 +1.7483011818788768e+28 
+9.8000000000000007e+00 +4.7159959739888066e+01 -3.4607347079482349e+06 +2.2550037538269109e+14 -4.5587180885208072e+21 +1.9308512430664092e+28 
+9.9000000000000004e+00 +4.7159949875652181e+01 -3.4611887722266833e+06 +2.2598509345285059e+14 -4.6142064380244294e+21 +2.1019600759330160e+28 
+1.0000000000000000e+01 +4.7159940751025211e+01 -3.4616791538111642e+06 +2.2641404967991128e+14 -4.6632048717242601e+21 +2.2549527441857676e+28 
+1.0100000000000001e+01 +4.7159932532884653e+01 -3.4622053333125827e+06 +2.2677209411552025e+14 -4.7039450873249027e+21 +2.3845718834980795e+28 
+1.0200000000000001e+01 +4.7159925164075602e+01 -3.4627685746641760e+06 +2.2706275641933822e+14 -4.7367147834612877e+21 +2.4912286871606684e+28 
+1.0300000000000001e+01 +4.7159918531418171e+01 -3.4633705629273690e+06 +2.2729422950600691e+14 -4.7623150705978355e+21 +2.5767498490395867e+28 
+1.0400000000000000e+01 +4.7159912521745639e+01 -3.4640130019296003e+06 +2.2747471125615141e+14 -4.7815474942391269e+21 +2.6429632662382840e+28 
+1.0500000000000000e+01 +4.7159907021871462e+01 -3.4646975717270160e+06 +2.2761239372156453e+14 -4.7952131119805807e+21 +2.6916955266651979e+28 
+1.0600000000000001e+01 +4.7159901918618530e+01 -3.4654259591258513e+06 +2.2771546998461741e+14 -4.8041130333742091e+21 +2.7247732929981574e+28 
+1.0700000000000001e+01 +4.7159897098806354e+01 -3.4661998517028163e+06 +2.2779213396925084e+14 -4.8090484738581133e+21 +2.7440235782543915e+28 
+1.0800000000000001e+01 +4.7159892449272668e+01 -3.4670209581645676e+06 +2.2785058473610175e+14 -4.8108210777117195e+21 +2.7512745454566401e+28 
+1.0900000000000000e+01 +4.7159887856824341e+01 -3.4678909477386572e+06 +2.2789901123774653e+14 -4.8102316179948107e+21 +2.7483519710987844e+28 
+1.1000000000000000e+01 +4.7159883208293515e+01 -3.4688115230705077e+06 +2.2794561114523147e+14 -4.8080816280531160e+21 +2.7370837307130060e+28 
+1.1100000000000001e+01 +4.7159878407503548e+01 -3.4697783734133909e+06 +2.2799598357848153e+14 -4.8049593110026602e+21 +2.7188574905537288e+28 
+1.1200000000000001e+01 +4.7159873426347943e+01 -3.4707632755776201e+06 +2.2804537079119272e+14 -4.8006028408457370e+21 +2.6933092435751575e+28 
+1.1300000000000001e+01 +4.7159868253749089e+01 -3.4717320429073395e+06 +2.2808642950053419e+14 -4.7945381948140227e+21 +2.6596378991128516e+28 
+1.1400000000000000e+01 +4.7159862878587447e+01 -3.4726504343905826e+06 +2.2811180243646831e+14 -4.7862901421380511e+21 +2.6170390545275991e+28 
+1.1500000000000000e+01 +4.7159857289780263e+01 -3.4734842570199263e+06 +2.2811414475329706e+14 -4.7753845295209083e+21 +2.5647112701120446e+28 
+1.1600000000000001e+01 +4.7159851476215216e+01 -3.4741992788129663e+06 +2.2808610144244819e+14 -4.7613463177102906e+21 +2.5018506607374705e+28 
+1.1700000000000001e+01 +4.7159845426814194e+01 -3.4747613123758468e+06 +2.2802032904592881e+14 -4.7437014705479730e+21 +2.4276561034245485e+28 
+1.1800000000000001e+01 +4.7159839130467617e+01 -3.4751361299935542e+06 +2.2790947376555372e+14 -4.7219750596529713e+21 +2.3413240290477485e+28 
+1.1900000000000000e+01 +4.7159832576084156e+01 -3.4752895274529182e+06 +2.2774618784504072e+14 -4.6956926786601254e+21 +2.2420523008228962e+28 
+1.2000000000000000e+01 +4.7159825752565567e+01 -3.4751872901615510e+06 +2.2752312067348725e+14 -4.6643796648056938e+21 +2.1290380604558196e+28 
+1.2100000000000001e+01 +4.7159818653708349e+01 -3.4748083241014713e+06 +2.2723651774925000e+14 -4.6278758238821302e+21 +2.0023314258476282e+28 
+1.2200000000000001e+01 +4.7159811292908792e+01 -3.4741840309413658e+06 +2.2689701080286244e+14 -4.5872789045091846e+21 +1.8653944478508826e+28 
+1.2300000000000001e+01 +4.7159803688477417e+01 -3.4733589565628381e+06 +2.2651883364107453e+14 -4.5440016355716744e+21 +1.7225435526819141e+28 
+1.2400000000000000e+01 +4.7159795858687843e+01 -3.4723775997660463e+06 +2.2611620793742319e+14 -4.4994556938213392e+21 +1.5780922700969590e+28 
+1.2500000000000000e+01 +4.7159787821833241e+01 -3.4712844833211550e+06 +2.2570336144551153e+14 -4.4550532786826736e+21 +1.4363555608898896e+28 
+1.2600000000000001e+01 +4.7159779596222009e+01 -3.4701241505532679e+06 +2.2529452727032812e+14 -4.4122070543228548e+21 +1.3016496641638164e+28 
+1.2700000000000001e+01 +4.7159771200138621e+01 -3.4689411128962249e+06 +2.2490393019074653e+14 -4.3723289592407177e+21 +1.1782888169759354e+28 
+1.2800000000000001e+01 +4.7159762651882311e+01 -3.4677799026835253e+06 +2.2454580065770791e+14 -4.3368314388191851e+21 +1.0705886789994520e+28 
+1.2900000000000000e+01 +4.7159753969740486e+01 -3.4666850357047538e+06 +2.2423436461414388e+14 -4.3071265333589144e+21 +9.8286376752840855e+27 
+1.3000000000000000e+01 +4.7159745172005984e+01 -3.4657010331806643e+06 +2.2398384924191984e+14 -4.2846263833499748e+21 +9.1942886385965141e+27 
+1.3100000000000001e+01 +4.7159736274366381e+01 -3.4648649118503695e+06 +2.2380516905374781e+14 -4.2703731406465086e+21 +8.8337092889486089e+27 
+1.3200000000000001e+01 +4.7159727281967157e+01 -3.4641834914327129e+06 +2.2369593860251659e+14 -4.2639245671152296e+21 +8.7285314006132056e+27 
+1.3300000000000001e+01 +4.7159718197360831e+01 -3.4636561024424005e+06 +2.2365046367034056e+14 -4.2644687730394682e+21 +8.8481178185559103e+27 
+1.3400000000000000e+01 +4.7159709023110025e+01 -3.4632820870457776e+06 +2.2366305281394888e+14 -4.2711940954451807e+21 +9.1618373539667508e+27 
+1.3500000000000000e+01 +4.7159699761733599e+01 -3.4630607311959863e+06 +2.2372800020205459e+14 -4.2832876324216578e+21 +9.6390249118582291e+27 
+1.3600000000000001e+01 +4.7159690415795900e+01 -3.4629913786401330e+06 +2.2383961469397359e+14 -4.2999377411786859e+21 +1.0249049743815117e+28 
+1.3700000000000001e+01 +4.7159680987839451e+01 -3.4630733461046303e+06 +2.2399219841663203e+14 -4.3203322102238486e+21 +1.0961265752549762e+28 
+1.3800000000000001e+01 +4.7159671480394898e+01 -3.4633059343053838e+06 +2.2418004921725194e+14 -4.3436584479861653e+21 +1.1745016207265959e+28 
+1.3900000000000000e+01 +4.7159661896019642e+01 -3.4636884796162280e+06 +2.2439747432496212e+14 -4.3691046861927974e+21 +1.2569667212093064e+28 
+1.4000000000000000e+01 +4.7159652237265028e+01 -3.4642203083441788e+06 +2.2463877804946669e+14 -4.3958588861849477e+21 +1.3404577114157908e+28 
+1.4100000000000001e+01 +4.7159642502898521e+01 -3.4648956459441930e+06 +2.2489878379790394e+14 -4.4232613268605633e+21 +1.4226263526790021e+28 
+1.4200000000000001e+01 +4.7159632676648606e+01 -3.4656884270200091e+06 +2.2517441871462134e+14 -4.4512638355939053e+21 +1.5039942082384434e+28 
+1.4300000000000001e+01 +4.7159622738446565e+01 -3.4665674665399236e+06 +2.2546312393556828e+14 -4.4799701005413405e+21 +1.5857974852555150e+28 
+1.4400000000000000e+01 +4.7159612668259918e+01 -3.4675016264990536e+06 +2.2576235282186812e+14 -4.5094848754373813e+21 +1.6692753338345163e+28 
+1.4500000000000000e+01 +4.7159602446041823e+01 -3.4684597495738482e+06 +2.2606955360798606e+14 -4.5399124612265584e+21 +1.7556656423328912e+28 
+1.4600000000000001e+01 +4.7159592051724161e+01 -3.4694106517478907e+06 +2.2638216773830647e+14 -4.5713565751034433e+21 +1.8462047016107368e+28 
+1.4700000000000001e+01 +4.7159581465269468e+01 -3.4703231873418083e+06 +2.2669764639085391e+14 -4.6039217700464015e+21 +1.9421310875870218e+28 
+1.4800000000000001e+01 +4.7159570666630188e+01 -3.4711661990711517e+06 +2.2701343794738112e+14 -4.6377123673566531e+21 +2.0446827589169478e+28 
+1.4900000000000000e+01 +4.7159559635752117e+01 -3.4719085205432237e+06 +2.2732698837316712e+14 -4.6728324751941991e+21 +2.1550970807775811e+28 
+1.5000000000000000e+01 +4.7159548352590022e+01 -3.4725189962926265e+06 +2.2763574637336200e+14 -4.7093864352125540e+21 +2.2746120536751205e+28 
+1.5100000000000001e+01 +4.7159536811567740e+01 -3.4729778270871444e+06 +2.2793780648730941e+14 -4.7473844145301792e+21 +2.4037991621640546e+28 
+1.5200000000000001e+01 +4.7159525064979093e+01 -3.4733106253230846e+06 +2.2823384283129588e+14 -4.7864595455503300e+21 +2.5405628885635005e+28 
+1.5300000000000001e+01 +4.7159513179638104e+01 -3.4735544247696917e+06 +2.2852519204649484e+14 -4.8261522261593429e+21 +2.6821451473712737e+28 
+1.5400000000000000e+01 +4.7159501222296399e+01 -3.4737461789171207e+06 +2.2881317014341084e+14 -4.8660010720296341e+21 +2.8257829637686711e+28 
+1.5500000000000000e+01 +4.7159489259758345e+01 -3.4739229086116478e+06 +2.2909911034700175e+14 -4.9055461800492673e+21 +2.9687174145871388e+28 
+1.5600000000000001e+01 +4.7159477358809880e+01 -3.4741216111878641e+06 +2.2938433993903988e+14 -4.9443271405769473e+21 +3.1081882016625009e+28 
+1.5700000000000001e+01 +4.7159465586227093e+01 -3.4743792724874397e+06 +2.2967018329557569e+14 -4.9818832936591772e+21 +3.2414343395525924e+28 
+1.5800000000000001e+01 +4.7159454008787101e+01 -3.4747328784727426e+06 +2.2995796478415025e+14 -5.0177539782691531e+21 +3.3656948407850431e+28 
+1.5900000000000000e+01 +4.7159442693286323e+01 -3.4752194381616493e+06 +2.3024901436475688e+14 -5.0514789973200680e+21 +3.4782099539812080e+28 
+1.6000000000000000e+01 +4.7159431706502055e+01 -3.4758759405764122e+06 +2.3054465753955097e+14 -5.0825978062632754e+21 +3.5762190454698494e+28 
+1.6100000000000001e+01 +4.7159421082501055e+01 -3.4767153573463643e+06 +2.3084229117191047e+14 -5.1104902817576439e+21 +3.6569883885047357e+28 
+1.6199999999999999e+01 +4.7159410724465424e+01 -3.4776545535793127e+06 +2.3112359050815641e+14 -5.1338975090992344e+21 +3.7178908308149560e+28 
+1.6300000000000001e+01 +4.7159400502862269e+01 -3.4785863757867943e+06 +2.3136630256284784e+14 -5.1514010704732058e+21 +3.7563264118344131e+28 
+1.6400000000000002e+01 +4.7159390288152991e+01 -3.4794036620496819e+06 +2.3154817198910016e+14 -5.1615823329629569e+21 +3.7696945598714566e+28 
+1.6500000000000000e+01 +4.7159379950819734e+01 -3.4799992785350909e+06 +2.3164695087048666e+14 -5.1630233173581281e+21 +3.7553965189334701e+28 
+1.6600000000000001e+01 +4.7159369361313402e+01 -3.4802660499206958e+06 +2.3164038040081969e+14 -5.1543050900409135e+21 +3.7108308875916132e+28 
+1.6699999999999999e+01 +4.7159358390102284e+01 -3.4800968229052848e+06 +2.3150620746429631e+14 -5.1340092128490328e+21 +3.6333976334225705e+28 
+1.6800000000000001e+01 +4.7159346907648711e+01 -3.4793844393049981e+06 +2.3122217797450706e+14 -5.1007171768228092e+21 +3.5204965515343030e+28 
+1.6900000000000002e+01 +4.7159334784421688e+01 -3.4780217464276832e+06 +2.3076603892475269e+14 -5.0530105503441685e+21 +3.3695276216895590e+28 
+1.7000000000000000e+01 +4.7159321890894560e+01 -3.4759015976563753e+06 +2.3011553891031459e+14 -4.9894710416449376e+21 +3.1778912091712219e+28 
+1.7100000000000001e+01 +4.7159308158221663e+01 -3.4729736256805849e+06 +2.2926200139968441e+14 -4.9097330118462622e+21 +2.9455624382719244e+28 
+1.7199999999999999e+01 +4.7159293760344625e+01 -3.4694146498904401e+06 +2.2825106564948431e+14 -4.8176427555914724e+21 +2.6828189338657861e+28 
+1.7300000000000001e+01 +4.7159278931883819e+01 -3.4654582654163870e+06 +2.2714194484526650e+14 -4.7180991388855142e+21 +2.4025128579059633e+28 
